rule_id;theme;subtheme;service_context;clause_pattern;decision_class;risk_level;playbook_id;standard_position;preferred_counterproposal;bidder_questions;security_rationale;evidence_markers;safe_markers;scope_notes;owner;status;review_needed;last_reviewed;notes
CERT-003;certifications;datacenter_certification;managed_service_hosting;Nachweis Rechenzentrumszertifizierung EN 50600 VK3 fuer die eingesetzten Rechenzentren.;acceptable;low;;Der Auftragnehmer weist fuer die eingesetzten Rechenzentren eine Zertifizierung nach EN 50600 VK3 nach. Der Nachweis bezieht sich ausschliesslich auf RZ-/Standort-/Infrastrukturaspekte und stellt KEINEN Gesamtservicenachweis dar.;"Keine Gegenforderung noetig; Scope klarstellen (RZ/Standort/Infrastruktur).";Ist klar, dass EN 50600 nur die RZ-/Infrastrukturebene abdeckt, nicht den Gesamtservice?;Belegt physische Sicherheit und Resilienz der RZ-Infrastruktur - nicht mehr, nicht weniger.;"en 50600 als gesamtservicenachweis; en 50600 fuer alle leistungen";"en 50600 vk3; rechenzentrumszertifizierung; vk3; rz-/standort-/infrastrukturbezug";Ausschliesslich RZ/Standort/Infrastruktur - kein Gesamtservice.;InfoSec;approved;no;2026-04-23;
CERT-004;certifications;audit_report_evidence;generic_it_outsourcing;Herausgabe des vollstaendigen ISAE-3402-/Audit-Reports inkl. aller Detailfeststellungen und Testunterlagen.;negotiable;medium;;"Zertifikat und Management-Zusammenfassung werden bereitgestellt. Vollstaendige Reports mit Detailfeststellungen und Testunterlagen nur unter NDA, manuell gepruefter Freigabe und ggf. redigiert; kein Regelfall.";"Zertifikatskopie und Management-Zusammenfassung als Standard; Detailberichte nur unter NDA + Einzelfallfreigabe.";Ist ein NDA vorhanden? Welche Berichtsform wird benoetigt? Gibt es einen Audit-Kontext, der Vollberichte rechtfertigt?;Vollumfaengliche Weitergabe externer Auditberichte kann IP-/Sicherheitsrisiko sein (Offenlegung Kontrollschwaechen, Testdaten).;"vollstaendiger report; alle feststellungen; ohne nda; alle testunterlagen";"nda; bridge letter; management-zusammenfassung; redigiert; einzelfallfreigabe";;InfoSec;review;yes;2026-04-23;Zertifikat ja - vollstaendige Testunterlagen nur manuell pruefen.
CERT-005;certifications;evidence_obligations;generic_it_outsourcing;Pauschale Verpflichtung zur Vorlage saemtlicher interner Policies, Testergebnisse und Risikoanalysen auf Verlangen.;high_risk;high;;Nachweispflichten muessen konkret benannt und scope-begrenzt sein. Interne Policies grundsaetzlich intern.;"Benennung konkreter Nachweise (Zertifikate, SoA-Extrakt, Penetration-Test-Executive-Summary); keine Generalklausel.";Welche Nachweise sind fuer den konkreten Auslagerungszweck erforderlich?;Pauschale Herausgabe interner Unterlagen schafft IP- und Sicherheitsrisiken.;"saemtliche policies; alle risikoanalysen; auf verlangen jederzeit";"konkret benannt; executive summary; soa-extrakt";;InfoSec;approved;no;2026-04-23;
GOV-001;governance_controls;is_risk_management_provider;generic_it_outsourcing;Der Auftragnehmer betreibt ein dokumentiertes Informationssicherheits-Risikomanagement fuer die eigene Leistungserbringung.;acceptable;low;;Dokumentiertes Informationssicherheits-Risikomanagement ist Standard und ueber das ISMS (ISO 27001 inkl. 27005) nachweisbar.;Keine Gegenforderung noetig.;;"Etablierter Baustein des ISMS; deckt InfoSec-Risikomanagement fuer eigene Leistungserbringung ab.";;"is-risikomanagement; iso 27005; ismssystem; dokumentiertes risikomanagement";Bezug ist InfoSec-Risikomanagement des Auftragnehmers, NICHT unternehmensweites IKS/ERM.;InfoSec;approved;no;2026-04-23;
GOV-002;governance_controls;generic_iks_erm_requirement;generic_it_outsourcing;Generisches unternehmensweites Internes Kontrollsystem (IKS) oder Enterprise Risk Management (ERM) als Vertragsvoraussetzung.;negotiable;medium;;"Generisches unternehmensweites IKS/ERM ist nicht der InfoSec-Kern. Sofern gefordert: Einzelfallpruefung durch Legal/Compliance; Nachweise sind vorhanden, aber nicht Teil des InfoSec-Standardnachweises.";"Einzelfallpruefung durch Legal/Compliance; Bereitstellung vorhandener Unternehmensnachweise moeglich.";Welche IKS-/ERM-Nachweise werden konkret erwartet? Ist dies InfoSec-relevant oder Legal/Compliance-Thema?;"Generisches unternehmensweites IKS/ERM ist nicht InfoSec-Kern; kann ueber bestehende Governance-Nachweise abgedeckt werden, erfordert aber Einzelfallpruefung.";;"iks; erm; unternehmensweites kontrollsystem; enterprise risk management";Nicht mit GOV-003 (vertragsspezifische IKS-Kontrollen) verwechseln.;Legal;approved;yes;2026-04-23;
GOV-003;governance_controls;contract_specific_iks;generic_it_outsourcing;Kundenspezifische interne Kontrollgestaltung/-dokumentation/-ueberwachung zur Erfuellung eines konkreten Vertrages als Pflicht des Auftragnehmers.;high_risk;high;;Kundenspezifische IKS-Kontrollen zur Vertragserfuellung sind keine Standardleistung. Sie muessen pro Usecase definiert, dokumentiert und nachgehalten werden und sind Zusatzleistung.;IKS-Kontrollen zur Vertragserfuellung als gesonderte Leistung definieren, dokumentieren und verguetet. Kein Standardbestandteil des Managed Service.;Welche internen Kontrollen werden konkret erwartet? Ist der Usecase definiert?;Pauschale vertragsspezifische IKS-Pflichten ohne Usecase-Definition erzeugen unkalkulierbaren Dokumentations- und Nachweisaufwand.;"interne kontrollen zur vertragserfuellung; vertragsspezifische iks; kontrollen fuer diesen vertrag";"gesonderte leistung; pro usecase definiert; dokumentation und verguetung vereinbart";;InfoSec;approved;yes;2026-04-23;Formulierung haeufig mehrdeutig - immer pruefen.
GOV-004;governance_controls;wirksamkeitsnachweis;generic_it_outsourcing;Pauschaler Vollnachweis der Wirksamkeit saemtlicher interner Kontrollen gegenueber dem Auftraggeber.;high_risk;high;;"Wirksamkeit der Kontrollen wird ueber ISAE 3402 Type II-Testierung (im Scope) nachgewiesen. Individuelle, darueber hinausgehende Wirksamkeitsnachweise gegenueber einzelnen Auftraggebern sind kein Standard; Selbstbewertungen sind methodisch ungeeignet.";"Nachweis ueber ISAE 3402 Type II im Scope; darueber hinausgehende Wirksamkeitspruefungen sind Zusatzleistung.";Wird der ISAE 3402 Type II-Bericht als Wirksamkeitsnachweis akzeptiert? Welche darueber hinausgehenden Nachweise werden gefordert?;"Selbstbewertung der eigenen Kontrollwirksamkeit ist methodisch schwach; unabhaengige Testierung ist Marktstandard.";"wirksamkeitsnachweis eigene kontrollen; selbstbewertung; individuelle wirksamkeitspruefung; vollnachweis aller kontrollen";"isae 3402 type ii; unabhaengige testierung; marktstandard; im scope";;InfoSec;approved;yes;2026-04-23;
GOV-005;governance_controls;joint_risk_assessment;generic_it_outsourcing;Gemeinsame Definition und Bewertung kundenspezifischer Sicherheits-/Resilience-Risiken durch Auftragnehmer und Auftraggeber.;negotiable;medium;;Gemeinsame kundenspezifische Risikoanalysen (BIA, Recovery, Sicherheits-Assessments) sind keine Standardleistung. Sie werden von Consultants durchgefuehrt, gemeinsam mit dem Auftraggeber bewertet und separat beauftragt und verguetet.;"Als Zusatzleistung (Consulting); separate Leistungsbeschreibung mit Umfang, Beteiligung und Verguetung.";Sind gemeinsame Risikoanalysen gefordert? Ist ein Consulting-Rahmenvertrag vorhanden?;Pauschale Uebernahme kundenspezifischer Risikoanalysen ohne Scope und Verguetung erzeugt unkalkulierbaren Consulting-Aufwand.;"gemeinsame risikobewertung; bia erstellen; kundenspezifisches recovery-konzept; gemeinsame uebungen";"zusatzleistung; consulting; separate leistungsbeschreibung";;InfoSec;approved;yes;2026-04-23;
GOV-006;governance_controls;central_risk_management_integration;generic_it_outsourcing;Aufnahme vertragsspezifischer Risiken in das zentrale Risiko-/IT-Risikomanagement des Auftragnehmers.;high_risk;high;;"Vertragsspezifische Risiken werden im Standard nicht zentral im Konzern-/IT-Risikomanagement erfasst; die Risikobetrachtung erfolgt dezentral in der Delivery. Zentrale Aufnahme ist Einzelfallentscheidung.";Zentrale Risikomanagement-Integration nur nach individueller Pruefung und Abstimmung mit Risk-/Compliance-Funktion.;Wird eine zentrale Risikomanagement-Integration gefordert? Reicht dezentrale Risikobetrachtung in der Delivery?;Pauschale Zentralisierung vertragsspezifischer Risiken im Konzern-Risikomanagement erzeugt nicht beherrschbare Prozess- und Dokumentationslast.;"zentrale aufnahme ins risikomanagement; itrisk management integration; konzern-risikomanagement";"dezentrale risikobetrachtung in der delivery; nach individueller pruefung";;Legal;approved;yes;2026-04-23;Immer mit Risk-/Compliance-Funktion abstimmen.
GOV-007;governance_controls;back_to_back_certification_reliance;generic_it_outsourcing;Auftraggeber stuetzt Eignungsnachweise/Eignungsleihe auf Zertifikate des Auftragnehmers (ISMS, BCM).;acceptable;low;;"Wenn Zertifikate des Auftragnehmers als Eignungsnachweis des Auftraggebers gegenueber Aufsicht oder Kunden genutzt werden, ist eine Back-to-back-Kopplung mit Scope-Pruefung erforderlich: Zertifikatsaenderungen/-entzug sind zeitnah mitzuteilen; Scope der Zertifikate ist mit dem Leistungsgegenstand abzugleichen.";Back-to-back-Regelung fuer zertifikatsgebundene Eignungsleihe inkl. Scope-Pruefung.;Werden Zertifikate des Auftragnehmers fuer Eignungsnachweise genutzt? Besteht eine Back-to-back-Mitteilungspflicht? Passt der Zertifikat-Scope zum Leistungsgegenstand?;"Eignungsleihe ohne Back-to-back-Kopplung fuehrt zu Luecke in der Nachweiskette bei Zertifikatsveraenderungen; Scope-Mismatch schwaecht Nachweiswirkung.";"eignungsleihe; stuetzung auf zertifikat; eignungsnachweis";"back-to-back; mitteilungspflicht bei zertifikatsaenderung; kopplung; scope-pruefung";"Primaer Legal/Compliance; InfoSec weist auf Back-to-back-Kopplung und Scope-Pruefung hin.";Legal;approved;no;2026-04-23;
REG-001;regulatory_obligations;regulatory_blanket_takeover;generic_it_outsourcing;Pauschale, vollstaendige und eigenverantwortliche Uebernahme regulatorischer Pflichten des Auftraggebers (z. B. 'AN erfuellt alle DORA-/NIS2-/KRITIS-/BaFin-Pflichten').;no_go;critical;;Pauschale, vollstaendige und eigenverantwortliche Uebernahme regulatorischer Pflichten ist ausgeschlossen. Regulatorische Adressatenstellung verbleibt beim regulierten Unternehmen. Der Auftragnehmer unterstuetzt ausschliesslich im Rahmen konkret vereinbarter Leistungen.;"Keine pauschale Uebernahme; Unterstuetzungsklausel mit konkret abgegrenztem Leistungsumfang.";Welche konkreten regulatorischen Pflichten sollen uebernommen werden? Ist dies regulatorisch ueberhaupt uebertragbar?;"Regulatorische Verpflichtungen sind an den Adressaten der Regulierung gebunden; pauschale Abwaelzung ist aufsichtsrechtlich nicht wirksam und erzeugt erhebliches Haftungsrisiko.";"erfuellt alle dora-pflichten; uebernahme nis2; kritis-pflichten des auftraggebers; alle regulatorischen pflichten; regulatorische adressatenstellung";"unterstuetzung im rahmen vertraglicher leistungen; regulatorische pflichten verbleiben beim regulierten unternehmen";Pauschale Abwaelzung kategorisch ablehnen.;Legal;approved;yes;2026-04-23;Blanket regulatory flowdown = no_go.
REG-002;regulatory_obligations;dora_obligations;generic_it_outsourcing;Einzelne DORA-Pflichten sollen durch den Auftragnehmer im Scope seiner Leistung erfuellt werden (z. B. Incident-Reporting-Support, Nachweisbeitraege, Mitwirkung an Resilience-Tests).;negotiable;high;;Scoped regulatory support ist grundsaetzlich moeglich, aber nur klar leistungs- und scope-bezogen. Umfang, Leistungsgrenze und Verguetung werden vorab verbindlich festgelegt. Pauschale Uebernahme ausgeschlossen (siehe REG-001).;"Konkrete Definition der uebernommenen DORA-Unterstuetzungsleistungen; Abgrenzung zu Auftraggeber-Pflichten; Verguetung separat.";Welche konkreten DORA-Artikel werden adressiert? Welche Unterstuetzungsleistung wird gefordert? Ist der Auftragnehmer kritischer IKT-Drittanbieter im Sinne DORA?;DORA adressiert primaer das regulierte Unternehmen. Bestimmte Unterstuetzungsleistungen (Informationsbereitstellung, Incident-Kooperation) sind uebernehmbar, aber umfangs- und verguetungsbestimmt.;"dora-pflichten pauschal; alle artikel; ohne leistungsgrenze";"definierte unterstuetzungsleistung; konkrete dora-artikel; leistungsgrenze; verguetung vereinbart";;Legal;approved;yes;2026-04-23;Immer pruefen: Leistungsfaehigkeit, Verguetung, Leistungsabgrenzung.
REG-003;regulatory_obligations;nis2_obligations;generic_it_outsourcing;Uebernahme NIS2-Pflichten (Sicherheitsmassnahmen, Meldepflichten, Lieferkettensicherheit) durch Auftragnehmer.;negotiable;high;;NIS2-Sicherheitsmassnahmen auf Ebene des Auftragnehmers sind ueber das ISMS (ISO 27001) grundsaetzlich abgedeckt. Kundenspezifische NIS2-Zusatzleistungen sind Einzelfallpruefung. Pauschale Uebernahme ausgeschlossen.;"NIS2-Mindestmassnahmen ueber eigenes ISMS; kundenspezifische NIS2-Zusatzleistungen gegen Aufwand.";Faellt der Auftraggeber unter NIS2? Welche konkreten NIS2-Pflichten werden adressiert?;"NIS2 adressiert das betroffene Unternehmen; Unterstuetzungsleistungen sind umfangsbestimmt uebernehmbar.";"alle nis2-pflichten; pauschale erfuellung; ohne leistungsabgrenzung";"iso 27001 deckt standardmassnahmen; kundenspezifische leistung nach aufwand";;InfoSec;approved;yes;2026-04-23;
REG-004;regulatory_obligations;kritis_obligations;generic_it_outsourcing;Uebernahme KRITIS-Betreiberpflichten bzw. BSI-Meldepflichten durch Auftragnehmer.;negotiable;high;;"KRITIS-Betreiberpflichten und originaere BSI-Meldepflichten sind nicht uebertragbar; sie verbleiben beim Betreiber. Der Auftragnehmer unterstuetzt im Rahmen vertraglich definierter Leistungen.";"Unterstuetzungsleistung (Information, Nachweise, Kooperation); keine Uebernahme der Betreiberstellung.";Ist der Auftraggeber KRITIS-Betreiber? Welche Unterstuetzung wird konkret gefordert?;"KRITIS-Betreiberpflichten sind gesetzlich an den Betreiber gebunden; Uebernahme ist rechtlich nicht wirksam.";"kritis-betreiberpflichten uebernehmen; bsi-meldung durch dienstleister";"unterstuetzung im rahmen vertraglicher leistungen; betreiberstellung verbleibt";;Legal;approved;yes;2026-04-23;
REG-005;regulatory_obligations;marisk_obligations;generic_it_outsourcing;MaRisk AT 9-Anforderungen an Auslagerung (inkl. Steuerung, Ueberwachung, Notfallkonzept beim Auftraggeber).;negotiable;medium;;Der Auftragnehmer unterstuetzt den Auftraggeber in dessen Steuerungs-/Ueberwachungspflichten durch Bereitstellung relevanter Nachweise und Informationen (Zertifikate, Berichte, ISAE 3402 Type II). Kundenspezifische Notfallkonzepte sind Zusatzleistung.;"Unterstuetzung ueber Zertifikats- und Berichtswesen; kundenspezifische Notfallkonzepte als Zusatzleistung.";Welche MaRisk AT 9-Anforderungen werden konkret adressiert? Reichen die Standardnachweise?;"Steuerungs- und Ueberwachungspflicht bleibt beim auslagernden Institut; standardmaessige Nachweisunterstuetzung ist etabliert.";"marisk at 9 pauschal; notfallkonzept durch auftragnehmer";"zertifikatsnachweise; isae 3402 type ii; unterstuetzung der steuerung";;Legal;approved;yes;2026-04-23;
REG-006;regulatory_obligations;regulatory_special_services;generic_it_outsourcing;Regulatorische Sonderleistungen (Zusatzreporting, Sondertests, Sonderkonzepte, Sonderdokumentation, laufende regulatorische Mitwirkung) als Standardleistung.;high_risk;high;;Regulatorische Sonderleistungen sind keine Standardleistung des Auftragnehmers. Erbringung erfolgt als gesonderte Zusatzleistung (i. d. R. Consulting) mit separater Leistungsbeschreibung und Verguetung.;Regulatorische Sonderleistungen als Zusatzleistung mit klarer Leistungsbeschreibung und Verguetung.;Welche regulatorischen Sonderleistungen werden gefordert? Ist ein Consulting-Rahmen vorhanden?;Pauschale Uebernahme regulatorischer Sonderleistungen ohne Scope und Verguetung erzeugt unkalkulierbare fortlaufende Verpflichtungen.;"regulatorisches zusatzreporting; sondertests; sonderkonzepte; sonderdokumentation; laufende regulatorische mitwirkung; als standardleistung";"zusatzleistung; consulting; separate leistungsbeschreibung und verguetung";;Legal;approved;yes;2026-04-23;Neu in v1.3.
